trial,CV_AUC,max_depth,num_leaves,lr,subsample,colsample,bagging_freq,L2,L1,min_child,min_gain,max_bin,max_delta,min_hessian,boost_avg,extra_trees,time_s
202,0.9284,8,63,0.0714,0.741,0.6998,10,0.5475,0.0833,15,0.1022,128,3.5745,0.0531,True,False,66.0
203,0.9276,8,61,0.0697,0.8191,0.7078,10,1.6079,0.2714,13,0.0418,122,3.4867,0.0928,True,False,61.4
204,0.9285,8,62,0.074,0.8363,0.7415,10,1.154,0.1617,11,0.1443,118,3.2133,0.067,True,False,59.8
205,0.9208,8,60,0.0809,0.8118,0.7227,10,0.866,4.5169,18,0.0679,132,3.4507,0.0822,True,False,34.5
206,0.9277,8,63,0.0776,0.8281,0.7169,10,1.8873,0.0745,14,0.1069,125,3.3178,0.1058,True,False,61.1
207,0.9282,8,61,0.0658,0.6972,0.73,10,1.3094,0.0001,17,0.0008,114,3.6529,0.1316,True,False,79.8
208,0.9265,8,21,0.072,0.8227,0.7101,10,0.8089,0.2993,9,0.1771,109,3.3859,0.0479,True,False,50.4
209,0.9279,8,59,0.075,0.8176,0.7021,9,0.5168,0.1908,12,0.0508,128,3.5491,0.0608,True,False,70.3
210,0.9267,8,62,0.0703,0.7207,0.6935,10,1.2864,0.0999,15,0.1106,136,3.1208,0.0761,True,False,61.4
211,0.9292,8,62,0.0803,0.8368,0.7073,10,1.0077,0.4023,12,0.0293,122,3.5906,0.3844,True,False,68.7
212,0.9265,8,61,0.0805,0.8354,0.7051,10,0.9426,0.4939,10,0.0468,119,3.4515,0.3734,True,False,55.3
213,0.9287,8,63,0.0774,0.8297,0.7125,10,1.5901,0.209,11,0.0752,122,3.2656,0.2599,True,False,64.4
214,0.9291,8,62,0.0771,0.8299,0.7143,10,1.4936,0.4092,11,0.0006,116,3.2771,0.2921,True,False,78.9
215,0.9269,8,61,0.0779,0.8391,0.7138,10,1.6934,0.4479,12,0.0007,144,3.2092,0.2793,True,False,92.6
216,0.9279,8,63,0.0818,0.8332,0.7197,10,1.9853,0.2133,42,0.0372,123,3.2826,0.4161,True,False,53.6
217,0.9269,8,30,0.0763,0.8254,0.7278,10,1.4696,0.3179,11,0.0387,113,2.9734,0.3345,True,False,60.2
218,0.9273,8,62,0.0795,0.8394,0.6986,10,2.2529,0.0012,10,0.0732,131,3.6069,0.2295,True,False,70.2
219,0.9276,8,60,0.0769,0.8479,0.6898,10,1.2304,0.1973,12,0.1326,121,3.1048,0.184,True,False,53.8
220,0.9269,8,62,0.0842,0.8307,0.7145,10,1.5492,0.1148,9,0.0331,117,3.7828,0.2675,True,False,62.2
